@ref	@lat	@lon
17704:723	50.10325719999999	14.4051508
17704:728	50.10161660000001	14.399918
17704:729	50.09999999999999	14.3997389
17704:730	50.1000396	14.3967509
17704:776	50.0851394	14.3462433
17704:786	50.08545609999999	14.3715705
17704:799	50.1142402	14.3921192
17704:818	50.10179100000001	14.2631811
17704:842	50.0884312	14.4094063
17704:843	50.10179100000001	14.2631811
17704:844	50.10179100000001	14.2631811
17704:874	49.895575	13.9606891
17704:882	49.9129026	13.9779939
17704:883	49.9165815	13.9805676
17704:887	49.87794299999999	13.9195269
17704:889	49.9040837	13.8830158
17704:893	49.8319139	13.9962572
17704:91	50.1352749	14.3832182
17704:914	49.8333818	13.9023175
17704:93	50.1109757	14.3299942
19007:1821	50.1503781	14.485909
19007:1824	50.16665	14.4839748
19007:1916	50.14695690000001	14.5783386
19007:1921	50.08866200000001	14.571443
19007:1924	50.08364659999999	14.5706468
19007:1926	50.0814514	14.5687599
19007:1961	50.15134519999999	14.5276609
19007:1962	50.0832323	14.4352976
19007:1963	50.1490455	14.5258664
19007:1964	50.1626967	14.5241376
19007:1965	50.156304	14.542254
19007:1967	50.19624169999999	14.523038
19007:1977	50.1334747	14.5608897
19007:1978	50.1405893	14.5527131
19007:2002	50.1881978	14.6519477
19007:2003	50.18600920000001	14.6599612
19007:2004	50.2097136	14.6916809
19007:2021	50.1958164	14.6869947
19007:2039	50.1910897	14.5918284
19007:2056	50.1645388	14.756037
19007:2070	50.1336212	14.6607051
19007:2084	50.1782362	14.4787571
19007:2111	50.2131496	14.4390494
19007:856	50.1188223	14.4696631
19007:862	50.1503781	14.485909
19007:866	50.1267058	14.4715944
19007:868	50.1290817	14.4899021
19007:871	50.1199054	14.48144
19007:873	50.1290817	14.4899021
19007:874	50.1290817	14.4899021
19007:878	50.12837	14.4987642
19007:880	50.1406591	14.5129402
19007:881	50.1427098	14.5158576
19007:885	50.1172665	14.5079961
19007:908	50.1276398	14.4562884
19007:916	50.133302	14.432216
19007:919	50.1338163	14.4300785
19007:927	50.1274481	14.4122976
19007:948	50.1047757	14.5516513
19007:949	50.1417526	14.4528898
19007:951	50.1082701	14.5823072
19007:952	50.1051407	14.5734343
19007:954	50.102783	14.5666435
19007:955	50.1110974	14.5589222
19007:957	50.1047757	14.5516513
19007:958	50.1153714	14.523192
19007:961	50.1066139	14.5024004
19007:966	50.13480879999999	14.5025219
19007:969	50.1037456	14.5699071
19007:972	50.1044074	14.5286858
25107:10	50.0017314	14.7027767
25107:115	49.9697179	14.5412149
25107:123	49.9015169	14.5824274
25107:138	49.9329445	14.5616773
25107:163	49.9994619	14.5501744
25107:184	50.1119255	14.6851996
25107:188	49.99421299999999	14.8608649
